id,difficulty
0,C2
1,B1
2,B1
3,A2
4,C2
5,C1
6,A2
7,A2
8,C2
9,A2
10,A1
11,A2
12,B2
13,C2
14,A1
15,A2
16,B1
17,A2
18,A2
19,A1
20,C1
21,C2
22,B1
23,C1
24,A2
25,C2
26,A1
27,A1
28,C2
29,B2
30,A1
31,A2
32,A1
33,A2
34,A2
35,A2
36,C2
37,B1
38,A1
39,A2
40,B1
41,B1
42,C2
43,C1
44,B2
45,C2
46,C2
47,C1
48,A1
49,A1
50,C1
51,A1
52,B2
53,A1
54,A1
55,B2
56,B2
57,C1
58,C1
59,B1
60,B2
61,A2
62,C2
63,C2
64,C1
65,B2
66,C1
67,A2
68,B1
69,C1
70,A1
71,B2
72,B2
73,B1
74,B2
75,A2
76,B1
77,C1
78,B1
79,C2
80,A2
81,A1
82,B2
83,B1
84,A2
85,C2
86,B1
87,B1
88,C1
89,B1
90,C1
91,A2
92,C1
93,B2
94,A2
95,B1
96,A2
97,A1
98,B2
99,C2
100,C1
101,C1
102,A2
103,A2
104,B1
105,C2
106,A2
107,A2
108,A2
109,C1
110,B2
111,A1
112,C1
113,B2
114,C2
115,B2
116,B2
117,A2
118,A2
119,B2
120,A1
121,B1
122,B1
123,C1
124,A2
125,C2
126,C1
127,B2
128,B2
129,B2
130,A2
131,A2
132,C1
133,C2
134,C2
135,C1
136,A2
137,B2
138,A2
139,B1
140,A1
141,C2
142,C2
143,C2
144,C1
145,C1
146,A1
147,C1
148,B2
149,B1
150,B2
151,A2
152,A1
153,A2
154,A2
155,B2
156,C1
157,A1
158,A1
159,A2
160,A2
161,A1
162,B1
163,B2
164,C2
165,C1
166,A1
167,B1
168,B1
169,B2
170,B2
171,C1
172,A1
173,A2
174,A1
175,C1
176,C2
177,B2
178,B1
179,C1
180,A2
181,C2
182,B2
183,B1
184,B2
185,B1
186,A2
187,C1
188,C1
189,C1
190,A1
191,B2
192,B2
193,B1
194,B2
195,A2
196,C2
197,B1
198,C1
199,B1
200,C1
201,C2
202,A1
203,A1
204,C2
205,A1
206,A2
207,B1
208,A2
209,A1
210,A1
211,A1
212,B1
213,C1
214,B2
215,B2
216,B2
217,C1
218,A2
219,B2
220,B1
221,B2
222,A1
223,C1
224,A1
225,C1
226,A2
227,A2
228,A2
229,A1
230,B2
231,B2
232,C2
233,A2
234,B1
235,B2
236,C2
237,B1
238,C2
239,C2
240,B1
241,A1
242,A1
243,A2
244,B1
245,A1
246,B2
247,B2
248,A2
249,B1
250,B1
251,B1
252,A1
253,B2
254,B2
255,C2
256,A2
257,A1
258,A1
259,C2
260,A2
261,A2
262,A1
263,B1
264,B2
265,C1
266,B1
267,A2
268,B2
269,C2
270,B1
271,C1
272,A2
273,C1
274,A2
275,B2
276,C1
277,C2
278,C1
279,B2
280,A1
281,C1
